order_id,order_date,customer_id,product_id,quantity,selling_price,discount,returned
O000001,2025-04-01,C09047,P0276,1,5013.14,0.05,No
O000002,2025-09-30,C07294,P0142,2,8087.47,0.05,No
O000003,2025-10-01,C05878,P0411,3,15202.78,0.2,No
O000004,2025-03-02,C09716,P0242,3,8897.58,0.15,No
O000005,2025-03-09,C05071,P0424,1,6838.02,0.05,No
O000006,2025-12-21,C05382,P0492,3,3271.17,0.25,No
O000007,2025-04-03,C09770,P0451,1,1110.87,0.25,No
O000008,2025-08-15,C09233,P0209,1,10967.3,0.15,No
O000009,2025-12-15,C01447,P0055,1,16140.95,0.15,Yes
O000010,2025-01-10,C08983,P0115,2,9179.53,0.1,No
O000011,2025-05-09,C02340,P0227,1,12236.48,0.25,No
O000012,2025-10-09,C06375,P0001,2,7612.3,0.1,Yes
O000013,2025-01-20,C09347,P0238,3,21968.88,0.0,No
O000014,2025-03-01,C02751,P0093,3,19143.41,0.05,No
O000015,2025-07-12,C08548,P0305,1,14699.06,0.2,No
O000016,2025-12-15,C07513,P0222,2,19725.69,0.05,No
O000017,2025-09-22,C09467,P0455,2,14048.14,0.25,No
O000018,2025-07-19,C08124,P0144,4,11573.74,0.25,No
O000019,2025-10-20,C04038,P0375,2,3824.38,0.25,No
O000020,2025-08-27,C09739,P0065,1,16123.27,0.1,No
O000021,2025-04-23,C00797,P0468,1,16392.19,0.25,No
O000022,2025-09-23,C08864,P0452,2,15438.54,0.05,No
O000023,2025-11-11,C09189,P0441,2,17258.72,0.2,No
O000024,2025-05-13,C08948,P0396,3,21587.05,0.2,No
O000025,2025-12-31,C03977,P0027,4,7328.74,0.2,No
O000026,2025-05-02,C00067,P0241,1,7162.63,0.1,No
O000027,2025-05-22,C04870,P0401,1,1395.4,0.25,No
O000028,2025-06-08,C04140,P0446,1,19589.73,0.0,No
O000029,2025-03-29,C09528,P0464,2,14301.3,0.05,No
O000030,2025-12-01,C05626,P0146,1,2161.81,0.15,No
O000031,2025-12-19,C09307,P0056,1,2449.88,0.25,No
O000032,2025-11-30,C05586,P0297,4,10275.22,0.05,Yes
O000033,2025-11-17,C08450,P0169,2,6371.73,0.2,No
O000034,2025-11-07,C07571,P0416,2,17060.84,0.2,Yes
O000035,2025-06-10,C05962,P0260,1,5180.16,0.05,Yes
O000036,2025-08-02,C08141,P0169,2,6371.73,0.2,No
O000037,2025-06-08,C07815,P0270,5,7308.9,0.05,Yes
O000038,2025-12-22,C00639,P0251,1,6811.91,0.15,No
O000039,2025-12-18,C01604,P0413,3,5144.6,0.15,Yes
O000040,2025-12-18,C01539,P0451,2,1110.87,0.05,No
O000041,2025-11-17,C00419,P0329,1,753.43,0.2,No
O000042,2025-03-22,C06356,P0299,1,5417.11,0.05,No
O000043,2025-05-25,C08210,P0165,1,10707.08,0.05,No
O000044,2025-06-24,C09632,P0310,1,18951.16,0.2,No
O000045,2025-04-06,C00709,P0373,1,12155.24,0.05,Yes
O000046,2025-04-11,C06433,P0162,1,8782.9,0.05,No
O000047,2025-03-02,C05424,P0415,1,6493.51,0.15,No
O000048,2025-01-28,C09736,P0354,1,18988.97,0.05,No
O000049,2025-02-08,C07899,P0250,1,13369.44,0.2,No
O000050,2025-05-05,C00547,P0300,2,12746.24,0.1,No
O000051,2025-03-18,C07398,P0022,1,14726.15,0.15,No
O000052,2025-04-10,C04121,P0038,1,11122.17,0.1,No
O000053,2025-05-21,C05906,P0289,3,9994.13,0.15,No
