product_id,product_name,category,sub_category,cost_price,selling_price
P0001,Cookware Set 1,Home & Kitchen,Kitchen & Home,5929.42,7612.3
P0002,Kurta 2,Fashion,Clothing,3999.2,5371.84
P0003,Jeans 3,Fashion,Clothing,8914.57,10585.98
P0004,Smart Watch 4,Electronics,Gadgets,10825.28,15784.44
P0005,Kitchen Scale 5,Home & Kitchen,Kitchen & Home,10289.62,13624.55
P0006,Backpack 6,Fashion,Clothing,691.22,970.51
P0007,Finance Basics 7,Books,Books,9748.56,12217.49
P0008,Coffee Maker 8,Home & Kitchen,Kitchen & Home,12252.39,19593.07
P0009,Fiction Novel 9,Books,Books,6869.3,8063.78
P0010,Football 10,Sports,Fitness,11113.42,14649.64
P0011,Football 11,Sports,Fitness,2979.86,4759.02
P0012,Kitchen Scale 12,Home & Kitchen,Kitchen & Home,5990.65,9462.34
P0013,Face Serum 13,Beauty,Personal Care,2792.24,4418.24
P0014,Electric Kettle 14,Home & Kitchen,Kitchen & Home,9055.74,13012.44
P0015,Shampoo 15,Beauty,Personal Care,11758.19,15325.83
P0016,Dinner Set 16,Home & Kitchen,Kitchen & Home,11979.18,14533.96
P0017,USB Cable 17,Electronics,Gadgets,8656.52,13574.72
P0018,Monitor 18,Electronics,Gadgets,10676.02,14465.72
P0019,Coffee Table 19,Furniture,Home Furniture,7813.11,9482.8
P0020,TV Unit 20,Furniture,Home Furniture,3632.19,5439.99
P0021,Track Pants 21,Fashion,Clothing,3615.7,4977.26
P0022,Sneakers 22,Fashion,Clothing,10300.16,14726.15
P0023,Wireless Mouse 23,Electronics,Gadgets,6242.15,8438.67
P0024,Bedside Table 24,Furniture,Home Furniture,12798.99,17483.52
P0025,Formal Shirt 25,Fashion,Clothing,5785.25,7219.72
P0026,Digital Marketing 26,Books,Books,2007.34,3099.81
P0027,Data Science Handbook 27,Books,Books,4703.02,7328.74
P0028,Study Table 28,Furniture,Home Furniture,2428.02,3385.6
